21/07/2023,NIVA BUPA HEALTH INSUR NOIDA         IN 20/07/2023 •••• •••• •••• 9656  ,"-3,015.00",3015,HSBC Credit Card,21/07/2023NIVA BUPA HEALTH INSUR NOIDA         IN 20/07/2023 •••• •••• •••• 9656  -3015
21/07/2023,PVR LIMITED            NEW DELHI     IN 20/07/2023 •••• •••• •••• 9656  ,-60,60,HSBC Credit Card,21/07/2023PVR LIMITED            NEW DELHI     IN 20/07/2023 •••• •••• •••• 9656  -60
16/07/2023,LICIOUS INR            WWW.LICIOUS.  IN 15/07/2023 •••• •••• •••• 9656  ,"-1,045.00",1045,HSBC Credit Card,16/07/2023LICIOUS INR            WWW.LICIOUS.  IN 15/07/2023 •••• •••• •••• 9656  -1045
15/07/2023,CREDIT CARD PAYMENT 15/07/2023 •••• •••• •••• 9656  ,"1,000.00",-1000,HSBC Credit Card,15/07/2023CREDIT CARD PAYMENT 15/07/2023 •••• •••• •••• 9656  1000
07-11-2023,CREDIT CARD PAYMENT 10/07/2023 •••• •••• •••• 9656  ,"1,383.00",-1383,HSBC Credit Card,11/7/2023CREDIT CARD PAYMENT 10/07/2023 •••• •••• •••• 9656  1383
07-10-2023,ZOMATO                 NEW DELHI     IN 09/07/2023 •••• •••• •••• 9656  ,"-1,221.95",1221.95,HSBC Credit Card,10/7/2023ZOMATO                 NEW DELHI     IN 09/07/2023 •••• •••• •••• 9656  -1221.95
07-09-2023,ZOMATO                 NEW DELHI     IN 08/07/2023 •••• •••• •••• 9656  ,-566.64,566.64,HSBC Credit Card,9/7/2023ZOMATO                 NEW DELHI     IN 08/07/2023 •••• •••• •••• 9656  -566.64
07-05-2023,Flipkart Payments      BANGALORE     IN 04/07/2023 •••• •••• •••• 9656  ,406,-406,HSBC Credit Card,5/7/2023Flipkart Payments      BANGALORE     IN 04/07/2023 •••• •••• •••• 9656  406
07-04-2023,SWIGGY                 Bengaluru     IN 03/07/2023 •••• •••• •••• 9656  ,"-1,611.00",1611,HSBC Credit Card,4/7/2023SWIGGY                 Bengaluru     IN 03/07/2023 •••• •••• •••• 9656  -1611
07-03-2023,CREDIT CARD PAYMENT 03/07/2023 •••• •••• •••• 9656  ,"26,344.00",-26344,HSBC Credit Card,3/7/2023CREDIT CARD PAYMENT 03/07/2023 •••• •••• •••• 9656  26344
07-03-2023,CINEPOLIS REACH AIRIA  GURUGRAM      IN 02/07/2023 •••• •••• •••• 9656  ,-350,350,HSBC Credit Card,3/7/2023CINEPOLIS REACH AIRIA  GURUGRAM      IN 02/07/2023 •••• •••• •••• 9656  -350
07-03-2023,ZOMATO                 NEW DELHI     IN 02/07/2023 •••• •••• •••• 9656  ,"-1,147.00",1147,HSBC Credit Card,3/7/2023ZOMATO                 NEW DELHI     IN 02/07/2023 •••• •••• •••• 9656  -1147
07-03-2023,Taste of Sikkim        GURGAON       IN 02/07/2023 •••• •••• •••• 9656  ,-990,990,HSBC Credit Card,3/7/2023Taste of Sikkim        GURGAON       IN 02/07/2023 •••• •••• •••• 9656  -990
07-03-2023,MANJEET VITA DAIRY     GURGAON       IN 02/07/2023 •••• •••• •••• 9656  ,-358,358,HSBC Credit Card,3/7/2023MANJEET VITA DAIRY     GURGAON       IN 02/07/2023 •••• •••• •••• 9656  -358
07-03-2023,sagar ratna            GURGAON       IN 02/07/2023 •••• •••• •••• 9656  ,-215,215,HSBC Credit Card,3/7/2023sagar ratna            GURGAON       IN 02/07/2023 •••• •••• •••• 9656  -215
07-01-2023,RAZ*Licious            Bengaluru     IN 30/06/2023 •••• •••• •••• 9656  ,"-1,010.00",1010,HSBC Credit Card,1/7/2023RAZ*Licious            Bengaluru     IN 30/06/2023 •••• •••• •••• 9656  -1010
07-01-2023,Flipkart Payments      BANGALORE     IN 30/06/2023 •••• •••• •••• 9656  ,-406,406,HSBC Credit Card,1/7/2023Flipkart Payments      BANGALORE     IN 30/06/2023 •••• •••• •••• 9656  -406
07-01-2023,SWIGGY INSTAMART       BANGALORE     IN 30/06/2023 •••• •••• •••• 9656  ,-577,577,HSBC Credit Card,1/7/2023SWIGGY INSTAMART       BANGALORE     IN 30/06/2023 •••• •••• •••• 9656  -577
07-01-2023,SWIGGY INSTAMART       BANGALORE     IN 30/06/2023 •••• •••• •••• 9656  ,-828,828,HSBC Credit Card,1/7/2023SWIGGY INSTAMART       BANGALORE     IN 30/06/2023 •••• •••• •••• 9656  -828
07-01-2023,SWIGGY INSTAMART       BANGALORE     IN 30/06/2023 •••• •••• •••• 9656  ,-731,731,HSBC Credit Card,1/7/2023SWIGGY INSTAMART       BANGALORE     IN 30/06/2023 •••• •••• •••• 9656  -731
07-01-2023,LIQUOR LAND            GURGAON       IN 30/06/2023 •••• •••• •••• 9656  ,"-6,960.00",6960,HSBC Credit Card,1/7/2023LIQUOR LAND            GURGAON       IN 30/06/2023 •••• •••• •••• 9656  -6960
07-01-2023,SWIGGY INSTAMART       BANGALORE     IN 29/06/2023 •••• •••• •••• 9656  ,"-1,092.00",1092,HSBC Credit Card,1/7/2023SWIGGY INSTAMART       BANGALORE     IN 29/06/2023 •••• •••• •••• 9656  -1092
30/06/2023,K301  KFC AMBIENCE MAL GURGAON       IN 29/06/2023 •••• •••• •••• 9656  ,-439,439,HSBC Credit Card,30/06/2023K301  KFC AMBIENCE MAL GURGAON       IN 29/06/2023 •••• •••• •••• 9656  -439
30/06/2023,ZOMATO                 NEW DELHI     IN 29/06/2023 •••• •••• •••• 9656  ,-863.1,863.1,HSBC Credit Card,30/06/2023ZOMATO                 NEW DELHI     IN 29/06/2023 •••• •••• •••• 9656  -863.1
30/06/2023,Swiggy                 Bengaluru     IN 29/06/2023 •••• •••• •••• 9656  ,-534,534,HSBC Credit Card,30/06/2023Swiggy                 Bengaluru     IN 29/06/2023 •••• •••• •••• 9656  -534
30/06/2023,HENNES N MAURITZ       GURGAON       IN 29/06/2023 •••• •••• •••• 9656  ,"-4,317.30",4317.3,HSBC Credit Card,30/06/2023HENNES N MAURITZ       GURGAON       IN 29/06/2023 •••• •••• •••• 9656  -4317.3
30/06/2023,PVR LIMITED            GURUGRAM      IN 29/06/2023 •••• •••• •••• 9656  ,-275,275,HSBC Credit Card,30/06/2023PVR LIMITED            GURUGRAM      IN 29/06/2023 •••• •••• •••• 9656  -275
30/06/2023,SHAHEED MANOHAR LAL FI GURGAON       IN 29/06/2023 •••• •••• •••• 9656  ,"-2,023.60",2023.6,HSBC Credit Card,30/06/2023SHAHEED MANOHAR LAL FI GURGAON       IN 29/06/2023 •••• •••• •••• 9656  -2023.6
29/06/2023,AMAZON PAY INDIA PRIVA BANGALORE     IN 28/06/2023 •••• •••• •••• 9656  ,"-1,617.00",1617,HSBC Credit Card,29/06/2023AMAZON PAY INDIA PRIVA BANGALORE     IN 28/06/2023 •••• •••• •••• 9656  -1617
